BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze ree
ks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van
De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.k
nmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for
trend analysis. For climate change studies we refer to the homogenized series of monthly temperatures of De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achterg
rond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-neder
land-temperatuur-cnt>.
YYYYMMDD  = Datum (YYYY=jaar MM=maand DD=dag) / Date (YYYY=year MM=month DD=day)
DDVEC     = Vectorgemiddelde windrichting in graden (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable)
FHVEC     = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean windspeed (in 0.1 m/s)
FG        = Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
FHX       = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
FHXH      = Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
FHN       = Laagste uurgemiddelde windsnelheid (in 0.1 m/s) / Minimum hourly mean windspeed (in 0.1 m/s)
FHNH      = Uurvak waarin FHN is gemeten / Hourly division in which FHN was measured
FXX       = Hoogste windstoot (in 0.1 m/s) / Maximum wind gust (in 0.1 m/s)
FXXH      = Uurvak waarin FXX is gemeten / Hourly division in which FXX was measured
TG        = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
TN        = Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
TNH       = Uurvak waarin TN is gemeten / Hourly division in which TN was measured
TX        = Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
TXH       = Uurvak waarin TX is gemeten / Hourly division in which TX was measured
T10N      = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
T10NH     = 6-uurs tijdvak waarin T10N is gemeten / 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
SQ        = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour)
SP        = Percentage van de langst mogelijke zonneschijnduur / Percentage of maximum potential sunshine duration
Q         = Globale straling (in J/cm2) / Global radiation (in J/cm2)
DR        = Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
RH        = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHX       = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHXH      = Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
PG        = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from 24 hourly values
PX        = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Maximum hourly sea level pressure (in 0.1 hPa)
PXH       = Uurvak waarin PX is gemeten / Hourly division in which PX was measured
PN        = Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Minimum hourly sea level pressure (in 0.1 hPa)
PNH       = Uurvak waarin PN is gemeten / Hourly division in which PN was measured
VVN       = Minimum opgetreden zicht / Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVNH      = Uurvak waarin VVN is gemeten / Hourly division in which VVN was measured
VVX       = Maximum opgetreden zicht / Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVXH      = Uurvak waarin VVX is gemeten / Hourly division in which VVX was measured
NG        = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants, 9=sky invisible)
UG        = Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
UX        = Maximale relatieve vochtigheid (in procenten) / Maximum relative atmospheric humidity (in percents)
UXH       = Uurvak waarin UX is gemeten / Hourly division in which UX was measured
UN        = Minimale relatieve vochtigheid (in procenten) / Minimum relative atmospheric humidity (in percents)
UNH       = Uurvak waarin UN is gemeten / Hourly division in which UN was measured
EV24      = Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)

# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  215,20140715,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  215,20140716,  317,   12,   17,   50,   14,    0,    1,   70,   13,  182,  121,    4,  246,   13,  113,    6,  134,   82, 2595,    0,    0,    0,    1,10217,10222,    6,10212,   19,    2,    2,   76,   11,    2,   84,  100,    4,   61,   11,   46
  215,20140717,    8,   17,   30,   50,   15,   10,    1,   80,   19,  211,  140,    4,  254,   11,  126,    6,  117,   72, 2558,    0,    0,    0,    1,10210,10221,   11,10196,   24,    4,    1,   81,   16,    2,   75,  100,    1,   57,    9,   47
  215,20140718,   95,   33,   36,   50,    7,   20,   20,  120,   24,  249,  182,    5,  309,   14,  170,    6,  138,   85, 2595,    0,    0,    0,    1,10158,10193,    1,10128,   20,   61,    4,   82,   16,    1,   66,   86,    3,   47,   12,   51
  215,20140719,  118,   15,   41,   70,   14,   10,   21,  140,   24,  257,  194,   24,  336,   14,  187,   24,   77,   48, 2022,    0,   -1,   -1,    1,10099,10132,    1,10085,   16,   62,   24,   82,   14,    5,   65,   87,   24,   34,   13,   40
  215,20140720,  315,   20,   25,   40,    1,   10,    5,  100,    3,  203,  173,   23,  235,   11,  165,   24,   22,   14, 1391,    6,   50,   50,    4,10100,10123,   24,10077,    2,   25,   23,   75,   15,    7,   91,   98,   21,   74,   15,   25
  215,20140721,  343,   53,   54,   70,   21,   30,    4,  120,   23,  187,  179,    4,  199,   13,  179,    6,    1,    1,  514,   25,   16,    8,   15,10151,10176,   22,10120,    2,   23,   15,   61,   10,    8,   96,   98,    3,   92,   11,    9
  215,20140722,   26,   46,   49,   70,    2,   30,    6,  110,   18,  226,  186,    1,  269,   16,  182,    6,  128,   80, 2630,    2,   10,   10,    4,10193,10210,   22,10171,    2,   57,    2,   82,   16,    3,   75,   97,    2,   56,   15,   50
  215,20140723,   59,   53,   54,   80,   14,   30,    1,  120,   13,  235,  199,   24,  282,   15,  181,   24,  137,   86, 2748,    0,    0,    0,    1,10189,10203,    1,10174,   18,   70,    1,   83,   18,    2,   66,   87,    3,   41,   14,   53
  215,20140724,   59,   52,   53,   70,   10,   30,   24,  120,   12,  221,  179,    4,  267,   14,  162,    6,  119,   75, 2505,    0,    0,    0,    1,10166,10174,    8,10156,   17,   75,    1,   83,   18,    2,   63,   79,    1,   49,   15,   47
  215,20140725,   52,   25,   29,   50,   12,   10,   21,   90,   15,  190,  161,   22,  229,   11,  143,    6,    9,    6, 1037,    0,    0,    0,    1,10157,10167,    8,10145,   20,   40,   24,   82,   11,    7,   80,   98,   22,   62,   11,   19
  215,20140726,  312,   29,   33,   50,    9,    0,    5,   80,   10,  202,  163,    1,  247,   16,  159,    6,   98,   62, 2294,    0,    0,    0,    1,10141,10153,   23,10133,   14,    1,   24,   69,   16,    5,   90,  100,   23,   72,   16,   42
  215,20140727,  311,   26,   34,   50,   16,   20,    1,   80,   16,  193,  170,   24,  235,   12,  164,   24,   74,   47, 2094,    0,    0,    0,    1,10158,10166,    9,10151,    2,    2,    1,   74,   11,    6,   90,  100,    1,   75,   12,   38
  215,20140728,   39,   41,   45,   80,   13,   20,    1,  130,   13,  196,  162,    9,  239,   17,  160,   12,   54,   34, 1325,   56,  251,   84,    8,10126,10148,    1,10110,   15,   16,   10,   75,   14,    6,   89,   98,    8,   71,   16,   24
  215,20140729,  360,   48,   49,   80,   14,   20,    2,  120,   13,  197,  152,   24,  235,   10,  126,   24,   49,   31, 1458,    0,    0,    0,    1,10126,10134,   22,10119,   15,   56,    2,   70,    9,    5,   90,   98,    1,   82,    9,   26
  215,20140730,  301,   32,   34,   60,   13,   10,   22,  100,   14,  169,  118,   24,  209,   11,   95,   24,   94,   60, 1992,    0,    0,    0,    1,10143,10161,   21,10125,    3,   23,   23,   75,    7,    3,   86,   98,   23,   70,   17,   34
  215,20140731,  230,   27,   32,   60,    9,   10,    1,  100,   10,  181,  113,    2,  243,   13,   83,    6,  119,   76, 2243,    0,    0,    0,    1,10144,10158,    1,10125,   24,    1,    1,   80,   12,    2,   80,  100,    1,   57,   11,   39
  215,20140801,  282,   12,   21,   40,   11,    0,   21,   60,   10,  184,  120,    5,  243,   11,   96,    6,  114,   73, 2204,    0,    0,    0,    1,10102,10123,    1,10081,   24,    1,    4,   76,    9,    2,   84,  100,    1,   62,   10,   39
  215,20140802,  173,   13,   30,   60,   14,   10,    1,  100,   14,  205,  141,    1,  267,   12,  119,    6,   38,   25, 1530,    0,    0,    0,    1,10055,10075,    1,10043,   13,    7,   24,   81,   14,    4,   82,  100,   24,   60,   14,   28
  215,20140803,  267,   26,   31,   60,   15,   10,    1,   90,   15,  188,  141,   24,  232,   12,  136,    6,   99,   64, 2250,    7,  133,  133,   24,10109,10137,   23,10068,    1,   12,   24,   81,   12,    3,   80,   98,    1,   64,   12,   40
  215,20140804,  272,   18,   27,   60,   12,    0,    4,   90,   12,  169,  110,   24,  213,   11,   92,   24,  135,   88, 2503,   15,   17,   14,    1,10162,10188,   23,10135,    3,    1,    3,   80,   15,    2,   84,  100,    5,   65,   15,   43
  215,20140805,  248,   15,   23,   50,   14,    0,    1,  110,   12,  174,  102,    4,  226,   12,   74,    6,  127,   83, 2306,    0,    0,    0,    1,10191,10199,   10,10173,   24,    1,    1,   82,   16,    1,   80,  100,    3,   54,   10,   40
  215,20140806,  165,   35,   36,   50,   14,   20,    1,  120,   16,  179,  154,    1,  203,   13,  124,    6,   14,    9,  607,   37,   44,   25,   16,10140,10171,    1,10124,   24,   32,   17,   80,    8,    7,   85,   98,   17,   65,    8,   11
  215,20140807,  331,    7,   26,   40,   12,   10,   10,   70,   12,  191,  155,   23,  232,   14,  134,   24,   96,   63, 2187,    0,    0,    0,    1,10144,10162,   22,10120,    3,   24,    5,   80,   13,    4,   85,   98,    2,   66,   14,   39
  215,20140808,  118,   36,   40,   60,   11,   20,    1,  100,   16,  189,  160,    1,  220,   12,  148,    6,    8,    5, 1042,    6,    7,    4,   17,10098,10159,    1,10018,   24,   50,   24,   69,   15,    7,   90,   98,   24,   78,   10,   19
  215,20140809,  240,   49,   58,   90,    6,   10,   20,  150,    7,  184,  141,   24,  217,   14,  111,   24,  111,   74, 2252,   15,   28,   25,    4,10076,10115,   20, 9990,    4,   56,    1,   80,   12,    5,   78,   98,    1,   57,   14,   40
  215,20140810,  194,   41,   57,  100,   18,   30,    1,  180,   18,  185,  142,    1,  210,   11,  122,    6,   21,   14,  769,   31,   63,   36,   15,10031,10097,    1, 9977,   16,   58,   15,   80,   21,    7,   82,   96,   15,   62,   23,   14
